,Skill Set,Frequency
0, C,2
1, CSS,2
2, Data Analysis,1
3, Graphics Design,1
4, HTML,2
5, Java,2
6, Javascript,2
7, MATLAB,1
8, Machine learning,2
9, Microsoft Excel,2
10, Microsoft Word,2
11, Microsoft office,1
12, Power point,1
13, Python,1
14, Tailoring,1
15, Writing,1
16, video animation,1
17, video editor,1
18,AutoCAD,1
19,Python,5
